name,time,hex,type,ZTMD200星上时间/秒,ZTMD201-热复位计数,ZTMD202-整星指令接收计数(X通道）,ZTMD203-整星指令执行计数,ZTMD204-星务自主请求切机计数（机动故障）,ZTMD204-星务自主请求切机计数（采集故障）,ZTMD205-能源安全切机计数,ZTMD205-能源最小模式切机计数,ZTMD206-备用,ZTMD207-上注指令码编号,ZTMD208-整星能源状态,ZTMD208-转姿控能源安全标志,ZTMD208-整星能源模式,ZTMD209-主测控状态,ZTMD209-备测控状态,ZTMD209-主GNSS状态,ZTMD209-备GNSS状态,ZTMD210-主DCS状态,ZTMD210-备DCS状态,ZTMD210-主VDES状态,ZTMD210-备VDES状态,ZTMD210-ADSB工作状态,ZTMD210-扩展板工作状态,ZTMD211-星务主备状态,ZTMD211-星务执行放电开关,ZTMD211-星务执行星箭分离禁能,ZTMD211-帆板状态1,ZTMD211-帆板状态2,ZTMD211-是否发生过能源安全,ZTMD211-GNSS捕获状态,ZTMD211-整星采集健康状态,ZTMD212-整星工作模式,ZTMD212-扩展板状态,ZTMD212-主DCS供电状态,ZTMD212-备DCS供电状态,ZTMD212-主VDES供电状态,ZTMD212-备VDES供电状态,ZTMD212-ADS-B供电状态,ZTMD213-程序使用状态,ZTMD213-执行姿控请求切机计数,ZTMD214-母线电压,ZTMD215-母线电流,ZTMD216-太阳电池阵1电流,ZTMD217-太阳电池阵2电流,ZTMD218-太阳电池阵3电流,ZTMD219-太阳电池阵4电流,ZTMD220-太阳电池阵1电压,ZTMD221-太阳电池阵2电压,ZTMD222-太阳电池阵3电压,ZTMD223-太阳电池阵4电压,ZTMD224-蓄电池组电压,ZTMD225-蓄电池组充放电流,ZTMD226-主GNSS供电状态,ZTMD226-备GNSS供电状态,ZTMD226-主测控供电状态,ZTMD226-备测控供电状态,ZTMD226-主磁强计供电状态,ZTMD226-备磁强计供电状态,ZTMD226-太敏供电状态,ZTMD226-磁力矩器供电状态,ZTMD227-星敏A供电状态,ZTMD227-星敏B供电状态,ZTMD227-主陀螺供电状态,ZTMD227-备陀螺供电状态,ZTMD227-X轮供电状态,ZTMD227-Y轮供电状态,ZTMD227-Z轮供电状态,ZTMD227-S轮供电状态,ZTMD228-备用,ZTMD229-卫星健康监控标志（姿控）,ZTMD230-奇异标志位,ZTMD231-姿控分支标志位,ZTMD232-姿态角X,ZTMD233-姿态角Y,ZTMD234-姿态角Z,ZTMD235-角速度X,ZTMD236-角速度Y,ZTMD237-角速度Z,ZTMD238-角速度确定模式,ZTMD238-姿态确定模式,ZTMD239-X轮数据状态标志,ZTMD239-Y轮数据状态标志,ZTMD041-Z轮数据状态标志,ZTMD240-S轮数据状态标志,ZTMD241-主陀螺数据状态标志,ZTMD241-备陀螺数据状态标志,ZTMD242 -星敏A数据状态标志,ZTMD242 -星敏B数据状态标志,ZTMD243 -太敏数据状态标志,ZTMD243 -磁强计数据状态标志,ZTMD244 -IMUA加电状态,ZTMD244 -磁强计状态,ZTMD244 -太敏状态,ZTMD244 -IMUB加电状态,ZTMD245 -星敏A状态,ZTMD245 -星敏B状态,ZTMD245 -主陀螺状态,ZTMD245 -备陀螺状态,ZTMD246 -动量轮X状态,ZTMD246 -动量轮Y状态,ZTMD246 -动量轮Z状态,ZTMD246 -动量轮S状态,ZTMD247-进入掩星载荷区标志,ZTMD247-凝视启动标志,ZTMD247-进载荷工作区标志,ZTMD247-请求 GNSS开机标志,ZTMD247-是否光照区,ZTMD247-姿态机动完成,ZTMD247-星敏使用优先级,ZTMD247-GNSS判后标志,ZTMD248-GNSS工作状态,ZTMD249-主定位模式,ZTMD250-主测控接收,ZTMD250-主测控发射,ZTMD250-主数传接收,ZTMD250-主数传发射,ZTMD250-主数传上注,ZTMD250-主数传下传,ZTMD250-主CANA/B总线标示,ZTMD250-备用,ZTMD251-主测控功率遥测,ZTMD252-主数传功率遥测,ZTMD253-主AGC遥测,ZTMD254-主遥控上行遥控C/N0,ZTMD255-主遥控通道位同步锁定指示,ZTMD255-主遥控通道伪码锁定指示,ZTMD255-主遥控通道载波锁定指示,ZTMD255-备用,ZTMD255-主数传上传通道载波同步锁定指示）,ZTMD255-主数传上传通道位同步锁定指示,ZTMD255-主数传上传通道译码锁定指示,ZTMD255-主数传上传通道帧锁定指示,ZTMD256-主遥控注数发送计数,ZTMD257-主数传上注C/N0,ZTMD258-备测控接收,ZTMD258-备测控发射,ZTMD258-备数传接收,ZTMD258-备数传发射,ZTMD258-备数传上注,ZTMD258-备数传下传,ZTMD258-备CAN-A/B总线标示,ZTMD258-备用,ZTMD259-备测控功率遥测,ZTMD260-备数传功率遥测,ZTMD261-备AGC遥测,ZTMD262-备遥控上行遥控C/N0,ZTMD263-备遥控通道位同步锁定指示,ZTMD263-备遥控通道伪码锁定指示,ZTMD263-备遥控通道载波锁定指示,ZTMD263-备用,ZTMD263-备数传上传通道载波同步锁定指示,ZTMD263-备数传上传通道位同步锁定指示,ZTMD263-备数传上传通道译码锁定指示,ZTMD263-备数传上传通道帧锁定指示,ZTMD264-备遥控注数发送计数,ZTMD265-备数传上注C/N0,ZTMD266-设备传输编号,ZTMD267-传输遥测1,ZTMD268-传输遥测2,ZTMD269-传输遥测3
0x0826,1730692567413000000,03ff0c5dcbd7008c89000000033030101600087ba33008b22b808604025c0000000e0f839bfd000d002900000000003100000000000069aa9a0faa04800000500004da00840fa34f0046360001000000,1,3.14267765808528e+17,0,140,137,0,0,0,0,0,0x03303010,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,通信异常,正常,正常,正常,主机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,加电,加电,3,0,29.47466357421875,1.8782968750000002,2.4605,2.4956640625000004,0.203984375,0.0896640625,19.765625,0.0,0.0,0.0,29.735706984985217,-0.48052343749999693,加电,断电,断电,加电,加电,断电,加电,加电,加电,加电,加电,加电,加电,加电,断电,加电,0,13,0,41,0.0,0.0,0.0,0.0,0.0,4.9,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,断电故障,加电正常,加电正常,断电故障,加电正常,加电正常,加电正常,加电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,无效,无请求,光照区,完成,B星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,80,0,未锁定,未锁定,未锁定,0,未锁定,锁定,未锁定,未锁定,218,0,开,关,关,关,低速（256K）,高速（20M）,A总线,0,15,163,79,0,未锁定,锁定,未锁定,0,未锁定,锁定,锁定,未锁定,54,0,1,0,0,0
0x0826,1730767334340000000,03ff0cdfefe600000000000000000000160000fba03308ab31525701018e1100000e0082bbed003e0029f9d6f50200110000000050002a2a9a29aa0480000075a7e00000c0bf0174a7e0000005370000,0,3.27186814341024e+17,0,0,0,0,0,0,0,0,0x00000000,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.382831298828123,2.1356406249999997,1.6096796875000001,1.64837890625,0.14849609375,0.07183203125,30.5078125,3.65234375,0.0,0.0,29.613090812499866,-0.31001562499999835,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,62,0,41,498.0,428.0,490.0,0.2,0.0,1.7000000000000002,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,117,167,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,191,1,116,167,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,5,55,0,0
0x0826,1730767338340000000,03ff0cdfefea00000000000000000000160000fba03308b031555901018e0f00000df982bbed003e0029f9d7f60100110000000050002a2a9a29aa0480000077aae00000c0c20077a9e0000006373600,0,3.27186820399968e+17,0,0,0,0,0,0,0,0,0x00000000,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.44842578125,2.1356406249999997,1.66516796875,1.6844335937500001,0.14849609375,0.07183203125,30.5078125,3.22265625,0.0,0.0,29.5558699320067,-0.31001562499999835,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,62,0,41,498.0,430.0,492.0,0.1,0.0,1.7000000000000002,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,119,170,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,194,0,119,169,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,6,55,54,0
0x0826,1730767342340000000,03ff0cdfefee00000000000000000000160000fba03308b036585c01018e1a00000dff83bbed003d0029f8d7f70100110000000050002a2a9a29aa0480000079aae00000c0c30077a9e0000007360035,0,3.27186826458912e+17,0,0,0,0,0,0,0,0,0x00000000,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.44842578125,2.35009375,1.72065625,1.7385156250000002,0.14849609375,0.07183203125,30.5078125,5.5859375,0.0,0.0,29.604916401000843,-0.48052343749999693,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,61,0,41,496.0,430.0,494.0,0.1,0.0,1.7000000000000002,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,121,170,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,195,0,119,169,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,7,54,0,53
0x0826,1730767346340000000,03ff0cdfeff200000000000000000000160000fba03308b3335a5f02018e0c00000dff82bbed003e0029f8d7f80100110000000050002a2a9a29aa0480000076aae00000c0bf0076a9e0000008000000,0,3.27186832517856e+17,0,0,0,0,0,0,0,0,0x00000000,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.487782470703124,2.221421875,1.7576484375,1.7925976562500001,0.1669921875,0.07183203125,30.5078125,2.578125,0.0,0.0,29.604916401000843,-0.31001562499999835,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,62,0,41,496.0,430.0,496.0,0.1,0.0,1.7000000000000002,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,118,170,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,191,0,118,169,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,8,0,0,0
0x0826,1730767350340000000,03ff0cdfeff600000000000000000000160000fba03308b3325d6102018e0000000df882bbed003e0029f8d7f80100110000000050002a2a9a29aa0480000077abe00000c0c10077a9e0000009393900,0,3.271868385768e+17,0,0,0,0,0,0,0,0,0x00000000,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.487782470703124,2.17853125,1.81313671875,1.8286523437500002,0.1669921875,0.07183203125,30.5078125,0.0,0.0,0.0,29.547695520507677,-0.31001562499999835,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,62,0,41,496.0,430.0,496.0,0.1,0.0,1.7000000000000002,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,119,171,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,193,0,119,169,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,9,57,57,0
0x0826,1730767354340000000,03ff0cdfeffa00000000000000000000160000fba03308b2375f6402018e0000000dfa82bbed003d0029f8d7f90100110000000050002a2a9a29aa0480000079ace00000c0c5007aaae000000a390000,0,3.27186844635744e+17,0,0,0,0,0,0,0,0,0x00000000,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.47466357421875,2.3929843749999997,1.8501289062500001,1.882734375,0.1669921875,0.07183203125,30.5078125,0.0,0.0,0.0,29.564044343505724,-0.31001562499999835,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,61,0,41,496.0,430.0,498.0,0.1,0.0,1.7000000000000002,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,121,172,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,197,0,122,170,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,10,57,0,0
0x0826,1730767358340000000,03ff0cdfeffe00000000000000000000160000fba03308b435626702018e0800000dfd83bbed003e0029f8d8fa0100110000000050002a2a9a29aa048000007cade00000c0bd007dabe000000b000000,0,3.27186850694688e+17,0,0,0,0,0,0,0,0,0x00000000,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.5009013671875,2.307203125,1.9056171875,1.9368164062500002,0.1669921875,0.07183203125,30.5078125,1.71875,0.0,0.0,29.588567578002795,-0.48052343749999693,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,62,0,41,496.0,432.0,500.0,0.1,0.0,1.7000000000000002,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,124,173,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,189,0,125,171,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,0,0,11,0,0,0
0x0826,1730767362340000000,03ff0cdff00200010100000015070700160000fba03308af37646902018e0000000e0382bbed003e0029f8d8fa0100110000000050002a2a9a29aa048000007caee00100c0c0007babe001000c000000,0,3.27186856753632e+17,0,1,1,0,0,0,0,0,0x15070700,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.435306884765623,2.3929843749999997,1.9426093750000002,1.9728710937500002,0.1669921875,0.07183203125,30.5078125,0.0,0.0,0.0,29.637614046996937,-0.31001562499999835,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,62,0,41,496.0,432.0,500.0,0.1,0.0,1.7000000000000002,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,124,174,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,1,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,192,0,123,171,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,1,0,12,0,0,0
0x0826,1730767366340000000,03ff0cdff00600010100000015070700160000fba03308b237666b02018e0000000dfd82bbed003d0029f8d8fb0100110000000050002a2a9a29aa048000007daee00100c0bf007aaae001000d000000,0,3.27186862812576e+17,0,1,1,0,0,0,0,0,0x15070700,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.47466357421875,2.3929843749999997,1.9796015625,2.00892578125,0.1669921875,0.07183203125,30.5078125,0.0,0.0,0.0,29.588567578002795,-0.31001562499999835,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,61,0,41,496.0,432.0,502.0,0.1,0.0,1.7000000000000002,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,125,174,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,1,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,191,0,122,170,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,1,0,13,0,0,0
0x0826,1730767370340000000,03ff0cdff00a00010100000015070700160000fba03308b32f696d0201870000000e0683bbed003e0029f9d8fc0100110000000050002a2a9a29aa048000007cade00100c0c7017aace001000e000000,0,3.2718686887152e+17,0,1,1,0,0,0,0,0,0x15070700,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.487782470703124,2.049859375,2.0350898437500002,2.04498046875,0.1669921875,0.07183203125,29.00390625,0.0,0.0,0.0,29.662137281494005,-0.48052343749999693,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,62,0,41,498.0,432.0,504.0,0.1,0.0,1.7000000000000002,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,124,173,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,1,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,199,1,122,172,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,1,0,14,0,0,0
0x0826,1730767374340000000,03ff0cdff00e00020200000011393900160000fba03308ac386b6f02018f0000000e0182bbed003e0029f9d8fc0200310000000050002a2a9a29aa048000007aade00200c0c4017baee002000f020000,0,3.27186874930464e+17,0,2,2,0,0,0,0,0,0x11393900,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.395950195312498,2.435875,2.0720820312500003,2.08103515625,0.1669921875,0.07183203125,30.72265625,0.0,0.0,0.0,29.62126522399889,-0.31001562499999835,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,62,0,41,498.0,432.0,504.0,0.2,0.0,4.9,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,122,173,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,2,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,196,1,123,174,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,2,0,15,2,0,0
0x0826,1730767378340000000,03ff0cdff01200020200000011393900160000fba03308b9376c7102018e0000000e0283bbed003d0029f9d9fd0200310000000050002a2a9a29aa0480000079ade00200c0c5017baee0020000361200,0,3.27186880989408e+17,0,2,2,0,0,0,0,0,0x11393900,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.566495849609375,2.3929843749999997,2.0905781250000004,2.11708984375,0.1669921875,0.07183203125,30.5078125,0.0,0.0,0.0,29.629439635497913,-0.48052343749999693,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,61,0,41,498.0,434.0,506.0,0.2,0.0,4.9,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,121,173,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,2,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,197,1,123,174,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,2,0,0,54,18,0
0x0826,1730767382340000000,03ff0cdff01600020200000011393900160000fba03308b8356d7203018f0000000e0683bbed003e0029f9d9fd0100310000000050002a2a9a29aa048000007caee00200c0c60079aee0020001000000,0,3.27186887048352e+17,0,2,2,0,0,0,0,0,0x11393900,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.553376953125,2.307203125,2.10907421875,2.1351171875,0.18548828125,0.07183203125,30.72265625,0.0,0.0,0.0,29.662137281494005,-0.48052343749999693,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,62,0,41,498.0,434.0,506.0,0.1,0.0,4.9,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,124,174,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,2,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,198,0,121,174,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,2,0,1,0,0,0
0x0826,1730767386340000000,03ff0cdff01a00020200000011393900160000fba03308b2306e730302850000000e0a83bbed003e0029f9dafd0100310000000050002a2a9a29aa048000007faee00200c0c3017daee0020002802300,0,3.27186893107296e+17,0,2,2,0,0,0,0,0,0x11393900,能源充足（搭载载荷加电）,能源充足,正常模式,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,备机,通,执行,已展开,已展开,未发生,捕获,健康,长期运行模式,加电,断电,断电,断电,断电,断电,3,3,29.47466357421875,2.0927499999999997,2.1275703125,2.15314453125,0.18548828125,0.0896640625,28.57421875,0.0,0.0,0.0,29.6948349274901,-0.48052343749999693,加电,断电,加电,加电,加电,断电,加电,加电,加电,加电,加电,断电,加电,加电,断电,加电,0,62,0,41,498.0,436.0,506.0,0.1,0.0,4.9,无,无,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,通信正常,状态标志无效,通信正常,通信正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,加电正常,断电正常,加电正常,加电正常,断电故障,加电正常,无效,非凝视,有效,无请求,光照区,未完成,A星敏,有效,定位有效,组合定位,开,关,关,关,低速（256K）,低速（5M）,A总线,0,0,0,127,174,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,2,0,开,开,关,关,低速（256K）,低速（5M）,A总线,0,195,1,125,174,锁定,锁定,锁定,0,未锁定,未锁定,未锁定,未锁定,2,0,2,128,35,0
